toxe,Ion_spice,Ion_cmp,Ioff_spice,Ioff_cmp,SS_spice,SS_cmp,Vt_spice,Vt_cmp
1e-09,0.000562877801713,0.000891286118940836,3.42047536128e-11,1.66288765689964e-12,79.9619987195,95.2770041475589,0.427793166785,0.688055
1.1e-09,0.000555443461053,0.000810260108128033,3.06884795354e-11,1.51171605172694e-12,81.9099916223,95.2770041475589,0.441567803718,0.688055
1.2e-09,0.000542558555026,0.000742738432450697,2.74688917445e-11,1.38573971408303e-12,83.9137039158,95.2770041475589,0.455680363247,0.688055
1.3e-09,0.000525564420968,0.000685604706877566,2.45753469658e-11,1.27914435146126e-12,85.8328760888,95.2770041475589,0.470047804017,0.688055
1.4e-09,0.000505464558955,0.000636632942100597,2.20045613675e-11,1.18777689778546e-12,87.743630558,95.2770041475589,0.48457266895,0.688055
1.5e-09,0.000483017065562,0.000594190745960557,1.9736432974e-11,1.10859177126643e-12,89.6949911519,95.2770041475589,0.499267090373,0.688055
1.6e-09,0.000458799710032,0.000557053824338023,1.77433293752e-11,1.03930478556227e-12,91.6453464397,95.2770041475589,0.514102574874,0.688055
1.7e-09,0.000433258799603,0.000524285952318139,1.59953630202e-11,9.78169209940965e-13,93.5642330398,95.2770041475589,0.529053985171,0.688055
1.8e-09,0.000406746432418,0.000495158954967131,1.44632673893e-11,9.23826476055355e-13,95.5587333776,95.2770041475589,0.544102131229,0.688055
1.9e-09,0.000379550037906,0.000469097957337282,1.31198307426e-11,8.75204029947179e-13,97.4601091155,95.2770041475589,0.559231896252,0.688055
2e-09,0.000351915688952,0.000445643059470418,1.19405188861e-11,8.3144382844982e-13,99.4525861848,95.2770041475589,0.574431439797,0.688055
