nfactor,Ion_spice,Ion_cmp,Ioff_spice,Ioff_cmp,SS_spice,SS_cmp,Vt_spice,Vt_cmp
1.2,0.00050643843133,0.000636632942100597,8.518468049e-12,1.672884903333e-15,80.9297066537,71.4577531106692,0.485653500791,0.688055
1.3,0.000506250944454,0.000636632942100597,1.08817442904e-11,1.34916250085261e-14,82.6388277564,77.4125658698916,0.485325834509,0.688055
1.4,0.000506029056851,0.000636632942100597,1.38395328184e-11,7.60592090255306e-14,84.3579853696,83.367378629114,0.485046142075,0.688055
1.5,0.000505768402945,0.000636632942100597,1.75047910195e-11,3.31683690130666e-13,86.0588331879,89.3221913883364,0.484789851282,0.688055
1.6,0.000505464558955,0.000636632942100597,2.20045613675e-11,1.18777689778546e-12,87.743630558,95.2770041475589,0.48457266895,0.688055
1.7,0.000505112984683,0.000636632942100597,2.74806132711e-11,3.63620935364698e-12,89.4179731782,101.231816906781,0.484395533602,0.688055
1.8,0.000504708732478,0.000636632942100597,3.40899808382e-11,9.79616586285203e-12,91.1976936994,107.186629666004,0.48425496491,0.688055
1.9,0.000504246854689,0.000636632942100597,4.20054165062e-11,2.37368095034597e-11,92.8867678044,113.141442425226,0.484147902729,0.688055
2,0.000503722170833,0.000636632942100597,5.14157189047e-11,5.26104671418853e-11,94.5602336978,119.096255184449,0.484071626466,0.688055
2.1,0.00050312950043,0.000636632942100597,6.25259774512e-11,1.0809260730388e-10,96.2198636247,125.051067943671,0.484023737361,0.688055
2.2,0.000502463488374,0.000636632942100597,7.55576712308e-11,2.0808905348175e-10,97.8973310092,131.005880702893,0.484002092251,0.688055
2.3,0.00050171877956,0.000636632942100597,9.07487002211e-11,3.78640373261238e-10,99.6520433209,136.960693462116,0.484004781568,0.688055
2.4,0.000500889960676,0.000636632942100597,1.08353277739e-10,6.55932601002544e-10,101.39043046,142.915506221338,0.484030101644,0.688055
