u0,Ion_spice,Ion_cmp,Ioff_spice,Ioff_cmp,SS_spice,SS_cmp,Vt_spice,Vt_cmp
0.02,0.000384215614758,0.000478523310228008,1.34415846509e-11,6.78729655877404e-13,87.9732633131,95.2770041475589,0.508495372137,0.688055
0.0225,0.000409946311265,0.000511454749513335,1.49146060086e-11,7.6357086286208e-13,87.9747076096,95.2770041475589,0.503317827815,0.688055
0.025,0.000433030159911,0.000541253519229234,1.63688021471e-11,8.48412069846755e-13,87.9254305885,95.2770041475589,0.498756924983,0.688055
0.0275,0.000453840009868,0.000568346325977613,1.78045321542e-11,9.3325327683143e-13,87.7962066158,95.2770041475589,0.494703243837,0.688055
0.03,0.000472684565466,0.000593085745551145,1.92221568523e-11,1.01809448381611e-12,87.8314572159,95.2770041475589,0.490988208937,0.688055
0.0325,0.000489820900839,0.000615765651088492,2.0622044003e-11,1.10293569080078e-12,87.7820647314,95.2770041475589,0.487608308678,0.688055
0.035,0.000505464558955,0.000636632942100597,2.20045613675e-11,1.18777689778546e-12,87.743630558,95.2770041475589,0.48457266895,0.688055
0.0375,0.000519797205925,0.00065589656934897,2.33700697683e-11,1.27261810477013e-12,87.7296238683,95.2770041475589,0.48169644893,0.688055
0.04,0.000532972859219,0.000673734556015238,2.47189282931e-11,1.35745931175481e-12,87.7237555491,95.2770041475589,0.479084778,0.688055
0.0425,0.000545122951735,0.000690299515650834,2.60514925604e-11,1.44230051873948e-12,87.6450647362,95.2770041475589,0.476615982855,0.688055
0.045,0.000556360115297,0.000705723029446445,2.73681095148e-11,1.52714172572416e-12,87.7440204729,95.2770041475589,0.474353273647,0.688055
0.0475,0.000566781382076,0.000720119148762564,2.8669119162e-11,1.61198293270883e-12,87.608811251,95.2770041475589,0.472170218444,0.688055
0.05,0.000576470745727,0.000733587220286714,2.9954854569e-11,1.69682413969351e-12,87.6251355682,95.2770041475589,0.470200143976,0.688055
