toxe_m,Ig_A,Id_A,Ig_over_Id
8e-10,NaN,NaN,NaN
9e-10,NaN,NaN,NaN
1e-09,NaN,NaN,NaN
1.1e-09,NaN,NaN,NaN
1.2e-09,NaN,NaN,NaN
1.3e-09,NaN,NaN,NaN
1.4e-09,NaN,NaN,NaN
1.5e-09,NaN,NaN,NaN
1.6e-09,NaN,NaN,NaN
1.7e-09,NaN,NaN,NaN
1.8e-09,NaN,NaN,NaN
1.9e-09,NaN,NaN,NaN
2e-09,NaN,NaN,NaN
