toxe_nm,Ig_N,Ig_P,Id_N,Id_P
0.8,1.26565879999e-09,1.30739641335e-09,0.000505464558955,0.000598462531343
0.9,1.26565879999e-09,1.30739641335e-09,0.000505464558955,0.000598462531343
1,1.26565879999e-09,1.30739641335e-09,0.000505464558955,0.000598462531343
1.1,1.26565879999e-09,1.30739641335e-09,0.000505464558955,0.000598462531343
1.2,1.26565879999e-09,1.30739641335e-09,0.000505464558955,0.000598462531343
1.3,1.26565879999e-09,1.30739641335e-09,0.000505464558955,0.000598462531343
1.4,1.26565879999e-09,1.30739641335e-09,0.000505464558955,0.000598462531343
1.5,1.26565879999e-09,1.30739641335e-09,0.000505464558955,0.000598462531343
1.6,1.26565879999e-09,1.30739641335e-09,0.000505464558955,0.000598462531343
1.7,1.26565879999e-09,1.30739641335e-09,0.000505464558955,0.000598462531343
1.8,1.26565879999e-09,1.30739641335e-09,0.000505464558955,0.000598462531343
1.9,1.26565879999e-09,1.30739641335e-09,0.000505464558955,0.000598462531343
2,1.26565879999e-09,1.30739641335e-09,0.000505464558955,0.000598462531343
