 0.00000000e+00  0.00000000e+00  0.00000000e+00  9.49999602e-01  0.00000000e+00 -1.26112191e-09 
 2.00000000e-03  2.00000000e-03  2.00000000e-03  9.49999603e-01  2.00000000e-03 -1.24649464e-09 
 4.00000000e-03  4.00000000e-03  4.00000000e-03  9.49999605e-01  4.00000000e-03 -1.23226919e-09 
 6.00000000e-03  6.00000000e-03  6.00000000e-03  9.49999607e-01  6.00000000e-03 -1.21814854e-09 
 8.00000000e-03  8.00000000e-03  8.00000000e-03  9.49999609e-01  8.00000000e-03 -1.20423621e-09 
 1.00000000e-02  1.00000000e-02  1.00000000e-02  9.49999611e-01  1.00000000e-02 -1.19053501e-09 
 1.20000000e-02  1.20000000e-02  1.20000000e-02  9.49999612e-01  1.20000000e-02 -1.17704776e-09 
 1.40000000e-02  1.40000000e-02  1.40000000e-02  9.49999614e-01  1.40000000e-02 -1.16377794e-09 
 1.60000000e-02  1.60000000e-02  1.60000000e-02  9.49999616e-01  1.60000000e-02 -1.15072874e-09 
 1.80000000e-02  1.80000000e-02  1.80000000e-02  9.49999617e-01  1.80000000e-02 -1.13790373e-09 
 2.00000000e-02  2.00000000e-02  2.00000000e-02  9.49999619e-01  2.00000000e-02 -1.12530721e-09 
 2.20000000e-02  2.20000000e-02  2.20000000e-02  9.49999620e-01  2.20000000e-02 -1.11294324e-09 
 2.40000000e-02  2.40000000e-02  2.40000000e-02  9.49999621e-01  2.40000000e-02 -1.10081602e-09 
 2.60000000e-02  2.60000000e-02  2.60000000e-02  9.49999622e-01  2.60000000e-02 -1.08893080e-09 
 2.80000000e-02  2.80000000e-02  2.80000000e-02  9.49999623e-01  2.80000000e-02 -1.07729248e-09 
 3.00000000e-02  3.00000000e-02  3.00000000e-02  9.49999624e-01  3.00000000e-02 -1.06590634e-09 
 3.20000000e-02  3.20000000e-02  3.20000000e-02  9.49999625e-01  3.20000000e-02 -1.05477860e-09 
 3.40000000e-02  3.40000000e-02  3.40000000e-02  9.49999626e-01  3.40000000e-02 -1.04391511e-09 
 3.60000000e-02  3.60000000e-02  3.60000000e-02  9.49999626e-01  3.60000000e-02 -1.03332247e-09 
 3.80000000e-02  3.80000000e-02  3.80000000e-02  9.49999626e-01  3.80000000e-02 -1.02300773e-09 
 4.00000000e-02  4.00000000e-02  4.00000000e-02  9.49999626e-01  4.00000000e-02 -1.01297833e-09 
 4.20000000e-02  4.20000000e-02  4.20000000e-02  9.49999626e-01  4.20000000e-02 -1.00324203e-09 
 4.40000000e-02  4.40000000e-02  4.40000000e-02  9.49999626e-01  4.40000000e-02 -9.93807159e-10 
 4.60000000e-02  4.60000000e-02  4.60000000e-02  9.49999626e-01  4.60000000e-02 -9.84682751e-10 
 4.80000000e-02  4.80000000e-02  4.80000000e-02  9.49999625e-01  4.80000000e-02 -9.75877990e-10 
 5.00000000e-02  5.00000000e-02  5.00000000e-02  9.49999624e-01  5.00000000e-02 -9.67402971e-10 
 5.20000000e-02  5.20000000e-02  5.20000000e-02  9.49999623e-01  5.20000000e-02 -9.59268073e-10 
 5.40000000e-02  5.40000000e-02  5.40000000e-02  9.49999622e-01  5.40000000e-02 -9.51484693e-10 
 5.60000000e-02  5.60000000e-02  5.60000000e-02  9.49999620e-01  5.60000000e-02 -9.44064408e-10 
 5.80000000e-02  5.80000000e-02  5.80000000e-02  9.49999619e-01  5.80000000e-02 -9.37019792e-10 
 6.00000000e-02  6.00000000e-02  6.00000000e-02  9.49999617e-01  6.00000000e-02 -9.30364066e-10 
 6.20000000e-02  6.20000000e-02  6.20000000e-02  9.49999614e-01  6.20000000e-02 -9.24111350e-10 
 6.40000000e-02  6.40000000e-02  6.40000000e-02  9.49999611e-01  6.40000000e-02 -9.18276311e-10 
 6.60000000e-02  6.60000000e-02  6.60000000e-02  9.49999608e-01  6.60000000e-02 -9.12874683e-10 
 6.80000000e-02  6.80000000e-02  6.80000000e-02  9.49999605e-01  6.80000000e-02 -9.07923079e-10 
 7.00000000e-02  7.00000000e-02  7.00000000e-02  9.49999601e-01  7.00000000e-02 -9.03438693e-10 
 7.20000000e-02  7.20000000e-02  7.20000000e-02  9.49999597e-01  7.20000000e-02 -8.99440362e-10 
 7.40000000e-02  7.40000000e-02  7.40000000e-02  9.49999592e-01  7.40000000e-02 -8.95947564e-10 
 7.60000000e-02  7.60000000e-02  7.60000000e-02  9.49999587e-01  7.60000000e-02 -8.92980855e-10 
 7.80000000e-02  7.80000000e-02  7.80000000e-02  9.49999582e-01  7.80000000e-02 -8.90562041e-10 
 8.00000000e-02  8.00000000e-02  8.00000000e-02  9.49999576e-01  8.00000000e-02 -8.88714222e-10 
 8.20000000e-02  8.20000000e-02  8.20000000e-02  9.49999569e-01  8.20000000e-02 -8.87461513e-10 
 8.40000000e-02  8.40000000e-02  8.40000000e-02  9.49999562e-01  8.40000000e-02 -8.86829919e-10 
 8.60000000e-02  8.60000000e-02  8.60000000e-02  9.49999554e-01  8.60000000e-02 -8.86846456e-10 
