n_vth0,Ion_N,Ion_P,Ioff_N,Ioff_P,SS_N,SS_P,Vt_N,Vt_P
0.55,0.000767828256357,0.000268857576884,9.70396873967e-10,1.44699053087e-12,87.6870704436,88.1279121712,0.338490594017,0.660463421873
0.58,0.000710238760803,0.000321289582644,4.25704277385e-10,2.07803262445e-12,87.7762980093,88.1812264103,0.370036877722,0.628632311679
0.61,0.000652957416605,0.000377631717129,1.86538604008e-10,3.52894688298e-12,87.7105327557,88.1419398771,0.401564119862,0.596782683557
0.64,0.000596128229517,0.000437781680375,8.18820844461e-11,6.86785784493e-12,87.6561761323,88.0507241793,0.433203199871,0.564954653324
0.67,0.000539906031918,0.000501653354149,3.61964590245e-11,1.45582261524e-11,87.7718470836,88.1121682602,0.464945573025,0.532980612683
0.7,0.000484463118482,0.000569162948523,1.62879484206e-11,3.22861633262e-11,87.7961558539,88.1057819253,0.496615911449,0.501034885399
0.73,0.000429998297477,0.000640220299829,7.62310527203e-12,7.31852148328e-11,87.7255541704,87.9893753893,0.528364432728,0.469029478014
0.76,0.00037674914347,0.000714724301361,3.85515534426e-12,1.67605429535e-10,87.776042786,88.0595966619,0.560175184934,0.436952295605
0.79,0.000325008557411,0.000792561215349,2.21761563106e-12,3.85693976757e-10,87.8735033025,88.0372031272,0.591902245537,0.40489648155
